"x" "Density" "Velocity" "TotalEnergy" "Temperature" "H2" "H" "O" "O2" "OH" "H2O" "HO2" "H2O2" "AR" "N2"
0.00185 0.175128 -782.62 109330 2872.98 0.00214219 0.000513143 0.0033366 0.0121785 0.0118141 0.0841544 2.42593e-06 1.53791e-07 0.885858 0
0.00195 0.175133 -782.606 109333 2872.91 0.00214229 0.000513214 0.003337 0.0121794 0.0118143 0.0841528 2.42573e-06 1.53829e-07 0.885858 0
0.00205 0.175137 -782.592 109335 2872.85 0.00214239 0.000513286 0.00333742 0.0121802 0.0118145 0.0841511 2.42553e-06 1.53867e-07 0.885858 0
0.00215 0.175142 -782.578 109338 2872.79 0.0021425 0.000513359 0.00333785 0.0121811 0.0118147 0.0841494 2.42533e-06 1.53906e-07 0.885858 0
0.00225 0.175146 -782.564 109341 2872.73 0.0021426 0.000513435 0.00333829 0.012182 0.011815 0.0841476 2.42513e-06 1.53946e-07 0.885858 0
0.00235 0.175151 -782.55 109345 2872.67 0.00214271 0.000513511 0.00333874 0.0121829 0.0118152 0.0841459 2.42493e-06 1.53986e-07 0.885858 0
0.00245 0.175156 -782.536 109348 2872.61 0.00214283 0.00051359 0.0033392 0.0121839 0.0118155 0.084144 2.42473e-06 1.54026e-07 0.885858 0
0.00255 0.175161 -782.522 109352 2872.54 0.00214294 0.000513669 0.00333967 0.0121848 0.0118158 0.0841421 2.42454e-06 1.54067e-07 0.885858 0
0.00265 0.175165 -782.508 109356 2872.48 0.00214306 0.000513751 0.00334015 0.0121857 0.0118161 0.0841402 2.42435e-06 1.54109e-07 0.885858 0
0.00275 0.17517 -782.494 109360 2872.42 0.00214318 0.000513834 0.00334064 0.0121867 0.0118164 0.0841382 2.42416e-06 1.54151e-07 0.885858 0
0.00285 0.175175 -782.479 109365 2872.36 0.0021433 0.000513918 0.00334114 0.0121877 0.0118167 0.0841361 2.42398e-06 1.54193e-07 0.885858 0
0.00295 0.175181 -782.464 109369 2872.3 0.00214343 0.000514004 0.00334166 0.0121887 0.0118171 0.084134 2.4238e-06 1.54235e-07 0.885858 0
0.00305 0.175186 -782.448 109375 2872.24 0.00214356 0.000514092 0.00334218 0.0121897 0.0118175 0.0841319 2.42362e-06 1.54278e-07 0.885858 0
0.00315 0.175192 -782.431 109380 2872.18 0.00214369 0.000514181 0.00334271 0.0121908 0.0118179 0.0841297 2.42345e-06 1.54321e-07 0.885858 0
0.00325 0.175197 -782.414 109385 2872.12 0.00214383 0.000514271 0.00334326 0.0121918 0.0118183 0.0841275 2.42329e-06 1.54365e-07 0.885858 0
0.00335 0.175203 -782.397 109391 2872.06 0.00214396 0.000514363 0.00334381 0.0121929 0.0118187 0.0841252 2.42313e-06 1.54409e-07 0.885858 0
0.00345 0.175209 -782.379 109397 2872 0.0021441 0.000514456 0.00334437 0.012194 0.0118192 0.0841229 2.42297e-06 1.54453e-07 0.885858 0
0.00355 0.175215 -782.36 109404 2871.95 0.00214424 0.000514551 0.00334495 0.012195 0.0118196 0.0841205 2.42281e-06 1.54498e-07 0.885858 0
0.00365 0.175221 -782.341 109410 2871.89 0.00214439 0.000514646 0.00334553 0.0121962 0.0118201 0.0841181 2.42266e-06 1.54542e-07 0.885858 0
0.00375 0.175227 -782.322 109417 2871.83 0.00214454 0.000514744 0.00334611 0.0121973 0.0118206 0.0841157 2.42251e-06 1.54588e-07 0.885858 0
0.00385 0.175234 -782.302 109424 2871.77 0.00214468 0.000514842 0.00334671 0.0121984 0.0118211 0.0841132 2.42236e-06 1.54633e-07 0.885858 0
0.00395 0.17524 -782.282 109431 2871.72 0.00214484 0.000514941 0.00334732 0.0121996 0.0118216 0.0841107 2.42221e-06 1.5468e-07 0.885858 0
0.00405 0.175247 -782.262 109438 2871.66 0.00214499 0.000515042 0.00334793 0.0122007 0.0118221 0.0841082 2.42207e-06 1.54726e-07 0.885858 0
0.00415 0.175254 -782.241 109445 2871.6 0.00214514 0.000515143 0.00334854 0.0122019 0.0118226 0.0841056 2.42192e-06 1.54773e-07 0.885858 0
0.00425 0.17526 -782.221 109453 2871.54 0.0021453 0.000515246 0.00334917 0.0122031 0.0118231 0.0841031 2.42177e-06 1.54821e-07 0.885858 0
0.00435 0.175267 -782.2 109460 2871.48 0.00214545 0.000515349 0.0033498 0.0122042 0.0118237 0.0841005 2.42162e-06 1.54869e-07 0.885858 0
0.00445 0.175274 -782.179 109468 2871.42 0.00214561 0.000515454 0.00335043 0.0122054 0.0118242 0.0840978 2.42147e-06 1.54917e-07 0.885858 0
0.00455 0.175281 -782.158 109475 2871.36 0.00214577 0.000515559 0.00335107 0.0122066 0.0118247 0.0840952 2.42132e-06 1.54966e-07 0.885858 0
0.00465 0.175289 -782.136 109483 2871.3 0.00214593 0.000515665 0.00335172 0.0122079 0.0118253 0.0840925 2.42117e-06 1.55015e-07 0.885858 0
0.00475 0.175296 -782.114 109491 2871.24 0.00214609 0.000515771 0.00335236 0.0122091 0.0118258 0.0840898 2.42102e-06 1.55065e-07 0.885858 0
0.00485 0.175304 -782.092 109499 2871.18 0.00214625 0.000515878 0.00335301 0.0122103 0.0118264 0.0840871 2.42087e-06 1.55115e-07 0.885858 0
0.00495 0.175311 -782.07 109507 2871.12 0.00214642 0.000515986 0.00335367 0.0122115 0.0118269 0.0840844 2.42071e-06 1.55165e-07 0.885858 0
0.00505 0.175319 -782.047 109515 2871.06 0.00214658 0.000516093 0.00335432 0.0122128 0.0118275 0.0840817 2.42055e-06 1.55216e-07 0.885858 0
0.00515 0.175327 -782.023 109523 2870.99 0.00214674 0.000516202 0.00335498 0.012214 0.011828 0.084079 2.4204e-06 1.55268e-07 0.885858 0
0.00525 0.175335 -781.999 109531 2870.93 0.00214691 0.00051631 0.00335564 0.0122153 0.0118286 0.0840763 2.42024e-06 1.55319e-07 0.885858 0
0.00535 0.175344 -781.975 109539 2870.87 0.00214707 0.000516419 0.0033563 0.0122165 0.0118291 0.0840736 2.42008e-06 1.55371e-07 0.885858 0
0.00545 0.175352 -781.95 109547 2870.8 0.00214724 0.000516529 0.00335697 0.0122178 0.0118296 0.0840708 2.41992e-06 1.55424e-07 0.885858 0
0.00555 0.175361 -781.924 109555 2870.74 0.0021474 0.000516638 0.00335763 0.012219 0.0118302 0.0840681 2.41975e-06 1.55477e-07 0.885858 0
0.00565 0.17537 -781.898 109563 2870.67 0.00214757 0.000516748 0.00335829 0.0122203 0.0118307 0.0840653 2.41959e-06 1.5553e-07 0.885858 0
0.00575 0.175379 -781.872 109571 2870.61 0.00214773 0.000516857 0.00335896 0.0122215 0.0118313 0.0840626 2.41942e-06 1.55584e-07 0.885858 0
0.00585 0.175389 -781.845 109579 2870.54 0.0021479 0.000516967 0.00335962 0.0122228 0.0118318 0.0840599 2.41925e-06 1.55638e-07 0.885858 0
0.00595 0.175398 -781.817 109587 2870.47 0.00214806 0.000517078 0.00336029 0.0122241 0.0118323 0.0840571 2.41908e-06 1.55693e-07 0.885858 0
0.00605 0.175408 -781.789 109595 2870.4 0.00214823 0.000517188 0.00336095 0.0122254 0.0118328 0.0840544 2.4189e-06 1.55748e-07 0.885858 0
0.00615 0.175418 -781.761 109603 2870.33 0.00214839 0.000517299 0.00336162 0.0122266 0.0118333 0.0840517 2.41872e-06 1.55803e-07 0.885858 0
0.00625 0.175428 -781.732 109611 2870.26 0.00214855 0.00051741 0.00336229 0.0122279 0.0118339 0.0840489 2.41854e-06 1.55859e-07 0.885858 0
0.00635 0.175438 -781.703 109619 2870.19 0.00214872 0.000517521 0.00336296 0.0122292 0.0118344 0.0840462 2.41835e-06 1.55915e-07 0.885858 0
